drug_group,product_name,dispensing_unit,qty_min,qty_max,tracked,issue
amoxicillin,Clavamox Drops: 15ml,,,,no,⚠  SOME NOT TRACKED
amoxicillin,"Clavamox Drops: 15ml, 12 Count",,,,no,⚠  SOME NOT TRACKED
apoquel,"Apoquel Chewable Tablets: 16mg, 250 Count",,,,no,⚠  SOME NOT TRACKED
apoquel,"Apoquel Chewable Tablets: 3.6mg, 250 Count",,,,no,⚠  SOME NOT TRACKED
apoquel,"Apoquel Chewable Tablets: 5.4mg, 250 Count",,,,no,⚠  SOME NOT TRACKED
apoquel,"Apoquel Tablets: 16mg, 250 Count",,,,no,⚠  SOME NOT TRACKED
apoquel,"Apoquel Tablets: 3.6mg, 250 Count",,,,no,⚠  SOME NOT TRACKED
apoquel,"Apoquel Tablets: 5.4mg, 250 Count",,,,no,⚠  SOME NOT TRACKED
atipamezole,Antisedan: 10ml (5mg/ml),,,,no,⚠  SOME NOT TRACKED
atipamezole,"Atipamezole Hydrochloride Injectable Solution 5Mg/Ml, 10Ml",mL,,,no,⚠  SOME NOT TRACKED
atipamezole,Atipamezole Injection: 10mL (5mg/mL),mL,,,no,⚠  SOME NOT TRACKED
atipamezole,"Medication Label: ""ANTISEDAN _mg"" White with Red Text, 1-1/4"" x 5/16""",,,,no,⚠  SOME NOT TRACKED
azithromycin,Azithromycin Oral Suspension:  30Ml (40Mg/Ml),,,,no,⚠  SOME NOT TRACKED
azithromycin,"Azithromycin Tablets: 250Mg, 30 Count",,,,no,⚠  SOME NOT TRACKED
buprenorphine,"Anesthesia Label: Buprenorphine mg/mL,  1.5"" x 0.5"", Each",,,,no,⚠  SOME NOT TRACKED
buprenorphine,Buprenorphine 0.3mg/ml,mL,5,20,yes,⚠  SOME NOT TRACKED
buprenorphine,"Buprenorphine HCl Injection: 1ml (0.3mg/ml), 5 Count",mL,,,no,⚠  SOME NOT TRACKED
butorphanol,"Butorphanol Label: Yellow, 760 Per Roll, Each",mL,,,no,⚠  SOME NOT TRACKED
butorphanol,Butorphanol Tartrate Injection 10mg/ml C4,mL,50,150,yes,⚠  SOME NOT TRACKED
carprofen,Carprofen 50mg tabs,tablets,30,180,yes,⚠  SOME NOT TRACKED
carprofen,"Carprofen Caplets: 100mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprofen Caplets: 25mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprofen Caplets: 75mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (carprofen tablets) Caplets: 100mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (Carprofen Tablets) Caplets: 25Mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (Carprofen) Chewable Tablets: 100Mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (Carprofen) Chewable Tablets: 25Mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (carprofen) Chewable Tablets: 25mg, 30 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (Carprofen) Chewable Tablets: 75Mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (carprofen) Flavored Tablets: 100mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Carprovet® (carprofen) Flavored Tablets: 25mg, 180 Count",tablets,,,no,⚠  SOME NOT TRACKED
carprofen,"Rimadyl Chewable Tablets: 100mg, 180 Count",,,,no,⚠  SOME NOT TRACKED
carprofen,"Rimadyl Chewable Tablets: 25mg, 180 Count",,,,no,⚠  SOME NOT TRACKED
carprofen,"Rimadyl Chewable Tablets: 75mg, 180 Count",,,,no,⚠  SOME NOT TRACKED
clindamycin,"Clindamycin Hcl Capsules: 150Mg, 100 Count",,,,no,⚠  SOME NOT TRACKED
clindamycin,"Clindamycin HCl Capsules: 150mg, 500 Count",,,,no,⚠  SOME NOT TRACKED
clindamycin,"Clindamycin Hcl Capsules: 75Mg, 100 Count",,,,no,⚠  SOME NOT TRACKED
clindamycin,Clindamycin HCl Oral Drops: 20ml (25mg/ml),,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 10mg (Up to 10lb), 1 Vial (Ordered in Multiples of 10)",,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 10mg (Up to 10lb), 1 Vial (Ordered in Multiples of 5)",,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 20mg (10.1-20lb), 1 Vial (Ordered in Multiples of 10)",,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 20mg (10.1-20lb), 1 Vial (Ordered in Multiples of 5)",,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 30mg (20.1-30lb), 1 Vial (Ordered in Multiples of 10)",,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 30mg (20.1-30lb), 1 Vial (Ordered in Multiples of 5)",,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 40mg (30.1-40lb), 1 Vial (Ordered in Multiples of 10)",,,,no,⚠  SOME NOT TRACKED
cytopoint,"Cytopoint: 40mg (30.1-40lb), 1 Vial (Ordered in Multiples of 5)",,,,no,⚠  SOME NOT TRACKED
dexamethasone,"Dexamethasone SP Injection: 1ml (4mg/ml), 25 Count",,,,no,⚠  SOME NOT TRACKED
dexamethasone,Dexium-SP (dexamethasone sodium phosphate) Injection: 100ml (4mg/ml),,,,no,⚠  SOME NOT TRACKED
